,country,year,donate,receive,
,New Zealand,2007,4179628,0,
,New Zealand,2008,4836516,0,
,New Zealand,2009,4720299,0,
,New Zealand,2010,3518946,0,
,New Zealand,2011,3623798,0,
,New Zealand,2012,1722664,0,
,New Zealand,2013,1938330,0,
,Slovenia,1973,0,0,
,Slovenia,1974,0,0,
,Slovenia,1975,0,0,
,Slovenia,1976,0,0,
,Slovenia,1977,0,0,
,Slovenia,1978,0,0,
,Slovenia,1979,0,0,
,Slovenia,1980,0,0,
,Slovenia,1981,0,0,
,Slovenia,1982,0,0,
,Slovenia,1983,0,0,
,Slovenia,1984,0,0,
,Slovenia,1985,0,0,
,Slovenia,1986,0,0,
,Slovenia,1987,0,0,
,Slovenia,1988,0,0,
,Slovenia,1989,0,0,
,Slovenia,1990,0,0,
,Slovenia,1991,0,0,
,Slovenia,1992,0,10624910,
,Slovenia,1993,0,2609520,
,Slovenia,1994,0,12375582,
,Slovenia,1995,0,7405043,
,Slovenia,1996,0,90121406,
,Slovenia,1997,0,7858148,
,Slovenia,1998,0,8484412,
,Slovenia,1999,0,12831539,
,Slovenia,2000,0,32556545,
,Slovenia,2001,0,13913044,
,Slovenia,2002,0,7663650,
,Slovenia,2003,0,6291746,
,Slovenia,2004,0,12414136,
,Slovenia,2005,0,0,
,Slovenia,2006,0,74572,
,Slovenia,2007,0,105426,
,Slovenia,2008,0,105521,
,Slovenia,2009,0,0,
,Slovenia,2010,135720,0,
,Slovenia,2011,0,0,
,Slovenia,2012,0,0,
,Slovenia,2013,14308,0,
,United Arab Emirates,1973,0,65097,
,United Arab Emirates,1974,0,0,
,United Arab Emirates,1975,0,0,
,United Arab Emirates,1976,64911546,0,
,United Arab Emirates,1977,0,3599299,
,United Arab Emirates,1978,0,0,
,United Arab Emirates,1979,0,0,
,United Arab Emirates,1980,0,174742,
,United Arab Emirates,1981,0,1813286,
,United Arab Emirates,1982,0,936588,
,United Arab Emirates,1983,0,598545,
,United Arab Emirates,1984,0,505928,
,United Arab Emirates,1985,0,136260119,
,United Arab Emirates,1986,0,0,
,United Arab Emirates,1987,0,131760270,
,United Arab Emirates,1988,0,0,
,United Arab Emirates,1989,0,0,
,United Arab Emirates,1990,0,0,
,United Arab Emirates,1991,0,0,
,United Arab Emirates,1992,0,0,
,United Arab Emirates,1993,0,0,
,United Arab Emirates,1994,0,9485289,
,United Arab Emirates,1995,0,1579978,
,United Arab Emirates,1996,0,1038083,
,United Arab Emirates,1997,0,1002901,
,United Arab Emirates,1998,0,461121,
,United Arab Emirates,1999,0,595520,
,United Arab Emirates,2000,0,628944,
,United Arab Emirates,2001,0,2140111,
,United Arab Emirates,2002,0,1783343,
,United Arab Emirates,2003,0,2325618,
,United Arab Emirates,2004,0,3451690,
,United Arab Emirates,2005,0,0,
,United Arab Emirates,2006,0,0,
,United Arab Emirates,2007,0,0,
,United Arab Emirates,2008,0,0,
,United Arab Emirates,2009,0,0,
,United Arab Emirates,2010,1109303,0,
,United Arab Emirates,2011,590706,0,
,United Arab Emirates,2012,1025431,0,
,United Arab Emirates,2013,0,0,
,Estonia,1973,0,0,
,Estonia,1974,0,0,
,Estonia,1975,0,0,
,Estonia,1976,0,0,
,Estonia,1977,0,0,
,Estonia,1978,0,0,
,Estonia,1979,0,0,
,Estonia,1980,0,0,
,Estonia,1981,0,0,
,Estonia,1982,0,0,
,Estonia,1983,0,0,
,Estonia,1984,0,0,
,Estonia,1985,0,0,
,Estonia,1986,0,0,
,Estonia,1987,0,0,
,Estonia,1988,0,0,
,Estonia,1989,0,0,
,Estonia,1990,0,0,
,Estonia,1991,0,990684,
,Estonia,1992,0,16023398,
,Estonia,1993,0,38337840,
,Estonia,1994,0,25652518,
,Estonia,1995,0,18418713,
,Estonia,1996,0,30942970,
,Estonia,1997,0,8307811,
,Estonia,1998,0,20250742,
,Estonia,1999,0,9201870,
,Estonia,2000,0,16010329,
,Estonia,2001,184731,24044423,
,Estonia,2002,94211,8104097,
,Estonia,2003,0,15925093,
,Estonia,2004,0,19139015,
,Estonia,2005,0,0,
,Estonia,2006,0,0,
,Estonia,2007,0,0,
,Estonia,2008,0,0,
,Estonia,2009,0,0,
,Estonia,2010,0,0,
,Estonia,2011,0,0,
,Estonia,2012,0,0,
,Estonia,2013,0,0,
,Latvia,1973,0,0,
,Latvia,1974,0,0,
,Latvia,1975,0,0,
,Latvia,1976,0,0,
,Latvia,1977,0,0,
,Latvia,1978,0,0,
,Latvia,1979,0,0,
,Latvia,1980,0,0,
,Latvia,1981,0,0,
,Latvia,1982,0,0,
,Latvia,1983,0,0,
,Latvia,1984,0,0,
,Latvia,1985,0,0,
,Latvia,1986,0,0,
,Latvia,1987,0,0,
,Latvia,1988,0,0,
,Latvia,1989,0,0,
,Latvia,1990,0,543060,
,Latvia,1991,0,398476,
,Latvia,1992,0,106443347,
,Latvia,1993,0,52648796,
,Latvia,1994,0,28380386,
,Latvia,1995,0,39008900,
,Latvia,1996,0,25044880,
,Latvia,1997,0,22485213,
,Latvia,1998,0,46078691,
,Latvia,1999,0,10570801,
,Latvia,2000,0,14205663,
,Latvia,2001,0,22714406,
,Latvia,2002,0,23562554,
,Latvia,2003,0,15787761,
,Latvia,2004,0,15622106,
,Latvia,2005,0,0,
,Latvia,2006,0,0,
,Latvia,2007,0,0,
,Latvia,2008,0,0,
,Latvia,2009,0,0,
,Latvia,2010,0,0,
,Latvia,2011,0,0,
,Latvia,2012,0,0,
,Latvia,2013,0,0,
,Luxembourg,1973,0,0,
,Luxembourg,1974,0,0,
,Luxembourg,1975,0,0,
,Luxembourg,1976,0,0,
,Luxembourg,1977,0,0,
,Luxembourg,1978,0,0,
,Luxembourg,1979,0,0,
,Luxembourg,1980,0,0,
,Luxembourg,1981,0,0,
,Luxembourg,1982,0,0,
,Luxembourg,1983,0,0,
,Luxembourg,1984,0,0,
,Luxembourg,1985,0,0,
,Luxembourg,1986,0,0,
,Luxembourg,1987,0,0,
,Luxembourg,1988,0,0,
,Luxembourg,1989,0,0,
,Luxembourg,1990,0,0,
,Luxembourg,1991,0,0,
,Luxembourg,1992,0,0,
,Luxembourg,1993,0,415719806,
,Luxembourg,1994,0,0,
,Luxembourg,1995,0,0,
,Luxembourg,1996,0,0,
,Luxembourg,1997,0,0,
,Luxembourg,1998,0,0,
,Luxembourg,1999,0,0,
,Luxembourg,2000,0,0,
,Luxembourg,2001,4867259,0,
,Luxembourg,2002,9896164,139320026,
,Luxembourg,2003,830472,0,
,Luxembourg,2004,10034092,0,
,Luxembourg,2005,13121625,0,
,Luxembourg,2006,9045047,0,
,Luxembourg,2007,8883735,0,
,Luxembourg,2008,9669591,0,
,Luxembourg,2009,9324881,0,
,Luxembourg,2010,9812280,0,
,Luxembourg,2011,9920871,0,
,Luxembourg,2012,8502699,0,
,Luxembourg,2013,7645306,0,
,Greece,1973,0,0,
,Greece,1974,0,0,
,Greece,1975,0,0,
,Greece,1976,0,0,
,Greece,1977,0,0,
,Greece,1978,0,0,
,Greece,1979,0,0,
,Greece,1980,0,115371982,
,Greece,1981,0,26046686,
,Greece,1982,0,0,
,Greece,1983,0,0,
,Greece,1984,0,0,
,Greece,1985,0,36819257,
,Greece,1986,0,0,
,Greece,1987,0,0,
,Greece,1988,0,37727914,
,Greece,1989,0,0,
,Greece,1990,0,0,
,Greece,1991,0,303412067,
,Greece,1992,0,0,
,Greece,1993,0,0,
,Greece,1994,0,0,
,Greece,1995,0,0,
,Greece,1996,0,0,
,Greece,1997,0,0,
,Greece,1998,0,0,
,Greece,1999,0,0,
,Greece,2000,0,0,
,Greece,2001,0,0,
,Greece,2002,3051811,0,
,Greece,2003,9823209,0,
,Greece,2004,875060,0,
,Greece,2005,3084323,0,
,Greece,2006,2803352,0,
,Greece,2007,3082200,0,
,Greece,2008,2542149,0,
,Greece,2009,2070017,0,
,Greece,2010,2151692,0,
,Greece,2011,1740617,0,
,Greece,2012,1220624,0,
,Greece,2013,222131,0,
,Lithuania,1973,0,0,
,Lithuania,1974,0,0,
,Lithuania,1975,0,0,
,Lithuania,1976,0,0,
,Lithuania,1977,0,0,
,Lithuania,1978,0,0,
,Lithuania,1979,0,0,
,Lithuania,1980,0,0,
,Lithuania,1981,0,0,
,Lithuania,1982,0,0,
,Lithuania,1983,0,0,
,Lithuania,1984,0,0,
,Lithuania,1985,0,0,
,Lithuania,1986,0,0,
,Lithuania,1987,0,0,
,Lithuania,1988,0,0,
,Lithuania,1989,0,0,
,Lithuania,1990,0,0,
,Lithuania,1991,0,455029,
,Lithuania,1992,0,8257205,
,Lithuania,1993,0,73709134,
,Lithuania,1994,0,28739967,
,Lithuania,1995,0,83881095,
,Lithuania,1996,0,89026730,
,Lithuania,1997,0,20435390,
,Lithuania,1998,0,61227246,
,Lithuania,1999,0,12053667,
,Lithuania,2000,0,16836580,
,Lithuania,2001,0,30635613,
,Lithuania,2002,0,25362242,
,Lithuania,2003,0,33181470,
,Lithuania,2004,0,30341902,
,Lithuania,2005,0,0,
,Lithuania,2006,0,0,
,Lithuania,2007,0,0,
,Lithuania,2008,0,0,
,Lithuania,2009,0,0,
,Lithuania,2010,0,0,
,Lithuania,2011,0,0,
,Lithuania,2012,0,0,
,Lithuania,2013,0,0,
,Qatar,1973,0,0,
,Qatar,1974,0,0,
,Qatar,1975,0,0,
,Qatar,1976,0,0,
,Qatar,1977,0,0,
,Qatar,1978,0,0,
,Qatar,1979,0,0,
,Qatar,1980,0,0,
,Qatar,1981,0,0,
,Qatar,1982,0,0,
,Qatar,1983,0,0,
,Qatar,1984,0,0,
,Qatar,1985,0,0,
,Qatar,1986,0,0,
,Qatar,1987,0,0,
,Qatar,1988,0,9137956,
,Qatar,1989,0,2949100,
,Qatar,1990,0,0,
,Qatar,1991,0,0,
,Qatar,1992,0,0,
,Qatar,1993,0,9564499,
,Qatar,1994,0,1252342,
,Qatar,1995,0,346430,
,Qatar,1996,0,836714,
,Qatar,1997,0,705173409,
,Qatar,1998,0,582329,
,Qatar,1999,0,491169,
,Qatar,2000,0,673904,
,Qatar,2001,0,771977,
,Qatar,2002,0,220245,
,Qatar,2003,0,324759,
,Qatar,2004,0,1458916,
,Qatar,2005,0,0,
,Qatar,2006,0,0,
,Qatar,2007,104519053,0,
,Qatar,2008,0,0,
,Qatar,2009,0,0,
,Qatar,2010,0,0,
,Qatar,2011,0,0,
,Qatar,2012,0,0,
,Qatar,2013,0,0,
,Ireland,1973,0,0,
,Ireland,1974,0,0,
,Ireland,1975,0,0,
,Ireland,1976,0,0,
,Ireland,1977,0,0,
,Ireland,1978,0,0,
,Ireland,1979,0,0,
,Ireland,1980,0,30268231,
,Ireland,1981,0,58605044,
,Ireland,1982,0,0,
,Ireland,1983,0,0,
,Ireland,1984,0,0,
,Ireland,1985,0,0,
,Ireland,1986,0,0,
,Ireland,1987,0,0,
,Ireland,1988,0,0,
,Ireland,1989,0,0,
,Ireland,1990,0,46238132,
,Ireland,1991,0,6065209,
,Ireland,1992,0,0,
,Ireland,1993,0,0,
,Ireland,1994,0,0,
,Ireland,1995,0,0,
,Ireland,1996,0,0,
,Ireland,1997,0,0,
,Ireland,1998,0,0,
,Ireland,1999,0,174812788,
,Ireland,2000,7976318,171345603,
,Ireland,2001,13231961,175063408,
,Ireland,2002,22971354,272240314,
,Ireland,2003,27083746,0,
,Ireland,2004,23980282,0,
,Ireland,2005,28639372,0,
,Ireland,2006,28942598,0,
,Ireland,2007,28202952,0,
,Ireland,2008,34965187,0,
,Ireland,2009,21707708,0,
,Ireland,2010,15971582,0,
,Ireland,2011,16164777,0,
,Ireland,2012,14021437,0,
,Ireland,2013,11285184,0,
,Slovakia,1973,0,0,
,Slovakia,1974,0,0,
,Slovakia,1975,0,0,
,Slovakia,1976,0,0,
,Slovakia,1977,0,0,
,Slovakia,1978,0,0,
,Slovakia,1979,0,0,
,Slovakia,1980,0,0,
,Slovakia,1981,0,0,
,Slovakia,1982,0,0,
,Slovakia,1983,0,0,
,Slovakia,1984,0,0,
,Slovakia,1985,0,0,
,Slovakia,1986,0,0,
,Slovakia,1987,0,0,
,Slovakia,1988,0,0,
,Slovakia,1989,0,0,
,Slovakia,1990,0,0,
,Slovakia,1991,0,0,
,Slovakia,1992,0,0,
,Slovakia,1993,0,9121048,
,Slovakia,1994,0,52553361,
,Slovakia,1995,0,75586685,
,Slovakia,1996,0,120767538,
,Slovakia,1997,0,219387257,
,Slovakia,1998,0,22763026,
,Slovakia,1999,0,132187615,
,Slovakia,2000,0,24767414,
,Slovakia,2001,0,52945385,
,Slovakia,2002,0,35860783,
,Slovakia,2003,0,41479968,
,Slovakia,2004,0,33775543,
,Slovakia,2005,326093,0,
,Slovakia,2006,0,0,
,Slovakia,2007,0,0,
,Slovakia,2008,0,0,
,Slovakia,2009,14202,0,
,Slovakia,2010,14132,0,
,Slovakia,2011,0,0,
,Slovakia,2012,0,0,
,Slovakia,2013,41147,0,
,Cyprus,1973,0,9613414,
,Cyprus,1974,0,16432279,
,Cyprus,1975,0,5864941,
,Cyprus,1976,0,31022257,
,Cyprus,1977,0,20945184,
,Cyprus,1978,0,46647,
,Cyprus,1979,0,15837039,
,Cyprus,1980,0,87110643,
,Cyprus,1981,0,110234644,
,Cyprus,1982,0,31348629,
,Cyprus,1983,0,51405078,
,Cyprus,1984,0,79282641,
,Cyprus,1985,0,39214175,
,Cyprus,1986,0,56716357,
,Cyprus,1987,0,29088415,
,Cyprus,1988,0,60836704,
,Cyprus,1989,0,32612810,
,Cyprus,1990,0,11768247,
,Cyprus,1991,0,24108788,
,Cyprus,1992,0,29261936,
,Cyprus,1993,0,42046495,
,Cyprus,1994,0,46104382,
,Cyprus,1995,0,1233692,
,Cyprus,1996,0,17809922,
,Cyprus,1997,0,9602634,
,Cyprus,1998,0,563689,
,Cyprus,1999,0,19380977,
,Cyprus,2000,0,5189473,
,Cyprus,2001,0,26263860,
,Cyprus,2002,0,23150596,
,Cyprus,2003,0,9421124,
,Cyprus,2004,0,24632806,
,Cyprus,2005,5599,0,
,Cyprus,2006,0,0,
,Cyprus,2007,0,4469,
,Cyprus,2008,0,0,
,Cyprus,2009,0,0,
,Cyprus,2010,0,0,
,Cyprus,2011,0,0,
,Cyprus,2012,0,0,
,Cyprus,2013,0,0,
,Czechia,1973,0,0,
,Czechia,1974,0,0,
,Czechia,1975,0,0,
,Czechia,1976,0,0,
,Czechia,1977,0,0,
,Czechia,1978,0,0,
,Czechia,1979,0,0,
,Czechia,1980,0,0,
,Czechia,1981,0,0,
,Czechia,1982,0,0,
,Czechia,1983,0,0,
,Czechia,1984,0,0,
,Czechia,1985,0,0,
,Czechia,1986,0,0,
,Czechia,1987,0,0,
,Czechia,1988,0,0,
,Czechia,1989,0,0,
,Czechia,1990,0,549039,
,Czechia,1991,0,392264026,
,Czechia,1992,0,212986243,
,Czechia,1993,0,170159661,
,Czechia,1994,0,487593167,
,Czechia,1995,0,182015721,
,Czechia,1996,4724939,35124917,
,Czechia,1997,1151600,99553819,
,Czechia,1998,0,120505911,
,Czechia,1999,0,82522618,
,Czechia,2000,0,145892164,
,Czechia,2001,530941,65382378,
,Czechia,2002,156771,60471458,
,Czechia,2003,247942,45608312,
,Czechia,2004,0,41237106,
,Czechia,2005,119901,46801,
,Czechia,2006,918070,0,
,Czechia,2007,0,0,
,Czechia,2008,230219,0,
,Czechia,2009,397563,0,
,Czechia,2010,0,0,
,Czechia,2011,164099,0,
,Czechia,2012,165238,0,
,Czechia,2013,123152,0,
,Hungary,1973,0,0,
,Hungary,1974,0,0,
,Hungary,1975,0,0,
,Hungary,1976,0,0,
,Hungary,1977,0,0,
,Hungary,1978,0,0,
,Hungary,1979,0,0,
,Hungary,1980,0,0,
,Hungary,1981,0,0,
,Hungary,1982,0,0,
,Hungary,1983,0,0,
,Hungary,1984,0,0,
,Hungary,1985,0,31296368,
,Hungary,1986,0,0,
,Hungary,1987,0,0,
,Hungary,1988,0,0,
,Hungary,1989,0,1482250,
,Hungary,1990,0,315616677,
,Hungary,1991,0,624227866,
,Hungary,1992,0,179864578,
,Hungary,1993,0,322532354,
,Hungary,1994,0,393976481,
,Hungary,1995,0,330369147,
,Hungary,1996,0,349275403,
,Hungary,1997,0,53047029,
,Hungary,1998,0,27853171,
,Hungary,1999,0,26274654,
,Hungary,2000,0,29607289,
,Hungary,2001,0,71227382,
,Hungary,2002,0,46184177,
,Hungary,2003,0,68595560,
,Hungary,2004,0,53861240,
,Hungary,2005,254145,0,
,Hungary,2006,0,0,
,Hungary,2007,2747,21733,
,Hungary,2008,67660,0,
,Hungary,2009,0,0,
,Hungary,2010,0,14132,
,Hungary,2011,0,0,
,Hungary,2012,0,0,
,Hungary,2013,0,0,
,Saudi Arabia,1973,0,65097,
,Saudi Arabia,1974,0,0,
,Saudi Arabia,1975,0,0,
,Saudi Arabia,1976,0,0,
,Saudi Arabia,1977,540365522,0,
,Saudi Arabia,1978,251262679,622892,
,Saudi Arabia,1979,0,12014220,
,Saudi Arabia,1980,112421249,120375527,
,Saudi Arabia,1981,131496682,409548081,
,Saudi Arabia,1982,0,197083911,
,Saudi Arabia,1983,79371799,206745775,
,Saudi Arabia,1984,346714096,59201063,
,Saudi Arabia,1985,128074768,35529584,
,Saudi Arabia,1986,35996220,36516861,
,Saudi Arabia,1987,72707674,0,
,Saudi Arabia,1988,0,42431775,
,Saudi Arabia,1989,0,0,
,Saudi Arabia,1990,0,0,
,Saudi Arabia,1991,0,89458009,
,Saudi Arabia,1992,0,148479604,
,Saudi Arabia,1993,0,0,
,Saudi Arabia,1994,0,5682814,
,Saudi Arabia,1995,0,7397882,
,Saudi Arabia,1996,0,2409008,
,Saudi Arabia,1997,0,2120366,
,Saudi Arabia,1998,0,1348961,
,Saudi Arabia,1999,0,2722986716,
,Saudi Arabia,2000,0,707503988,
,Saudi Arabia,2001,0,5047242,
,Saudi Arabia,2002,0,2651835,
,Saudi Arabia,2003,0,8735630,
,Saudi Arabia,2004,0,12603354,
,Saudi Arabia,2005,0,9206877,
,Saudi Arabia,2006,0,14209342,
,Saudi Arabia,2007,0,16462193,
,Saudi Arabia,2008,0,348667,
,Saudi Arabia,2009,0,327156,
,Saudi Arabia,2010,0,352548,
,Saudi Arabia,2011,0,282125,
,Saudi Arabia,2012,0,0,
,Saudi Arabia,2013,0,0,
,Taiwan,1973,0,0,
,Taiwan,1974,0,115048,
,Taiwan,1975,0,0,
,Taiwan,1976,0,0,
,Taiwan,1977,0,163198,
,Taiwan,1978,0,0,
,Taiwan,1979,0,0,
,Taiwan,1980,0,374058844,
,Taiwan,1981,0,312886996,
,Taiwan,1982,0,617069786,
,Taiwan,1983,0,54105626,
,Taiwan,1984,0,247894043,
,Taiwan,1985,0,28782961,
,Taiwan,1986,0,21795291,
,Taiwan,1987,0,14965414,
,Taiwan,1988,0,29459009,
,Taiwan,1989,0,75026666,
,Taiwan,1990,0,0,
,Taiwan,1991,0,5446049,
,Taiwan,1992,0,0,
,Taiwan,1993,0,0,
,Taiwan,1994,45628882,2655902,
,Taiwan,1995,0,2561779,
,Taiwan,1996,0,9333721,
,Taiwan,1997,0,2454079,
,Taiwan,1998,0,876129,
,Taiwan,1999,30163151,603873086,
,Taiwan,2000,0,779075653,
,Taiwan,2001,0,13689330,
,Taiwan,2002,0,170259619,
,Taiwan,2003,0,15103689,
,Taiwan,2004,0,17888290,
,Taiwan,2005,0,0,
,Taiwan,2006,6324571,0,
,Taiwan,2007,375139,0,
,Taiwan,2008,348667,0,
,Taiwan,2009,327156,14202,
,Taiwan,2010,287807,0,
,Taiwan,2011,282125,0,
,Taiwan,2012,0,0,
,Taiwan,2013,0,0,
,Romania,1973,0,0,
,Romania,1974,0,0,
,Romania,1975,0,0,
,Romania,1976,0,0,
,Romania,1977,0,0,
,Romania,1978,0,0,
,Romania,1979,0,0,
,Romania,1980,0,44381441,
,Romania,1981,0,262077414,
,Romania,1982,0,0,
,Romania,1983,0,0,
,Romania,1984,0,0,
,Romania,1985,0,0,
,Romania,1986,0,0,
,Romania,1987,0,0,
,Romania,1988,0,0,
,Romania,1989,0,5092048,
,Romania,1990,0,299897,
,Romania,1991,0,2904763,
,Romania,1992,0,174756620,
,Romania,1993,0,92433527,
,Romania,1994,0,47195859,
,Romania,1995,0,189810215,
,Romania,1996,0,240362515,
,Romania,1997,0,168028130,
,Romania,1998,0,339859562,
,Romania,1999,0,222375326,
,Romania,2000,0,223359836,
,Romania,2001,0,636869083,
,Romania,2002,0,277336395,
,Romania,2003,0,202807923,
,Romania,2004,0,198721214,
,Romania,2005,0,278521,
,Romania,2006,0,0,
,Romania,2007,0,97380,
,Romania,2008,0,12192,
,Romania,2009,0,0,
,Romania,2010,0,0,
,Romania,2011,0,0,
,Romania,2012,0,0,
,Romania,2013,0,0,
,Kuwait,1973,0,325483,
,Kuwait,1974,0,0,
,Kuwait,1975,0,0,
,Kuwait,1976,206494798,0,
,Kuwait,1977,86642765,0,
,Kuwait,1978,103885863,0,
,Kuwait,1979,59307807,0,
,Kuwait,1980,23153412,0,
,Kuwait,1981,298564124,78425,
,Kuwait,1982,181627819,0,
,Kuwait,1983,154970641,0,
,Kuwait,1984,27051193,0,
,Kuwait,1985,0,524410,
,Kuwait,1986,84167688,0,
,Kuwait,1987,0,0,
,Kuwait,1988,43914563,30421288,
,Kuwait,1989,43493083,0,
,Kuwait,1990,0,1568,
,Kuwait,1991,0,10244282,
,Kuwait,1992,6635123,7406838194,
,Kuwait,1993,25461230,0,
,Kuwait,1994,0,6860796,
,Kuwait,1995,0,302540263,
,Kuwait,1996,21381183,612124,
,Kuwait,1997,0,530951,
,Kuwait,1998,1107033,733164,
,Kuwait,1999,0,868779,
,Kuwait,2000,0,959746,
,Kuwait,2001,1219994,4044688,
,Kuwait,2002,0,3038480,
,Kuwait,2003,0,819946,
,Kuwait,2004,0,2097489,
,Kuwait,2005,0,0,
,Kuwait,2006,0,0,
,Kuwait,2007,0,0,
,Kuwait,2008,0,0,
,Kuwait,2009,0,0,
,Kuwait,2010,0,0,
,Kuwait,2011,0,0,
,Kuwait,2012,0,0,
,Kuwait,2013,0,0,
,Chile,1973,0,88056078,
,Chile,1974,0,257689227,
,Chile,1975,0,365408442,
,Chile,1976,0,155551297,
,Chile,1977,0,2568149,
,Chile,1978,0,4418418,
,Chile,1979,0,49451759,
,Chile,1980,0,17218386,
,Chile,1981,0,24802202,
,Chile,1982,0,25718071,
,Chile,1983,0,33869655,
,Chile,1984,0,314012953,
,Chile,1985,0,624811340,
,Chile,1986,0,123522992,
,Chile,1987,0,62625327,
,Chile,1988,0,73331550,
,Chile,1989,0,152229260,
,Chile,1990,0,260281186,
,Chile,1991,0,575859750,
,Chile,1992,0,686092378,
,Chile,1993,0,246885634,
,Chile,1994,0,98616016,
,Chile,1995,0,326285394,
,Chile,1996,0,66195930,
,Chile,1997,0,180051006,
,Chile,1998,0,279286896,
,Chile,1999,0,312658747,
,Chile,2000,0,143596162,
,Chile,2001,0,290131143,
,Chile,2002,117867,118858994,
,Chile,2003,32051,74584206,
,Chile,2004,37923,86004680,
,Chile,2005,49967,73415885,
,Chile,2006,129055,53907751,
,Chile,2007,56833,114940960,
,Chile,2008,10280,275383474,
,Chile,2009,40764,136810686,
,Chile,2010,89609,120087929,
,Chile,2011,0,63814172,
,Chile,2012,0,72801720,
,Chile,2013,0,302293325,
,South Africa,1973,0,0,
,South Africa,1974,0,0,
,South Africa,1975,0,0,
,South Africa,1976,0,0,
,South Africa,1977,0,0,
,South Africa,1978,0,0,
,South Africa,1979,0,0,
,South Africa,1980,0,0,
,South Africa,1981,0,0,
,South Africa,1982,0,0,
,South Africa,1983,0,0,
,South Africa,1984,0,0,
,South Africa,1985,0,0,
,South Africa,1986,0,0,
,South Africa,1987,0,105825534,
,South Africa,1988,0,110849,
,South Africa,1989,0,320399942,
,South Africa,1990,0,271828896,
,South Africa,1991,0,64650922,
,South Africa,1992,0,234490451,
,South Africa,1993,0,541955585,
,South Africa,1994,0,516230795,
,South Africa,1995,0,626257607,
,South Africa,1996,0,974078843,
,South Africa,1997,0,694290770,
,South Africa,1998,0,666789364,
,South Africa,1999,0,669943614,
,South Africa,2000,0,737221627,
,South Africa,2001,0,935444476,
,South Africa,2002,0,644990736,
,South Africa,2003,0,608581390,
,South Africa,2004,0,540700003,
,South Africa,2005,0,927379768,
,South Africa,2006,0,853103554,
,South Africa,2007,0,1070653291,
,South Africa,2008,0,1148281785,
,South Africa,2009,0,1281799284,
,South Africa,2010,0,971208512,
,South Africa,2011,0,943390545,
,South Africa,2012,0,955734671,
,South Africa,2013,0,1350212256,
,South Korea,1973,0,1363706959,
,South Korea,1974,0,1455639048,
,South Korea,1975,0,299226023,
,South Korea,1976,0,938952566,
,South Korea,1977,0,418471898,
,South Korea,1978,0,801254989,
,South Korea,1979,0,146708076,
,South Korea,1980,0,2625763424,
,South Korea,1981,0,1656173571,
,South Korea,1982,0,216083049,
,South Korea,1983,0,665624126,
,South Korea,1984,0,891180603,
,South Korea,1985,0,907605958,
,South Korea,1986,0,119590826,
,South Korea,1987,0,482793059,
,South Korea,1988,0,438174916,
,South Korea,1989,0,233488453,
,South Korea,1990,0,1095572646,
,South Korea,1991,0,39850875,
,South Korea,1992,0,3337566,
,South Korea,1993,0,3157283,
,South Korea,1994,0,1076359694,
,South Korea,1995,0,3947605,
,South Korea,1996,0,369583888,
,South Korea,1997,0,1019452888,
,South Korea,1998,0,10793650,
,South Korea,1999,0,5783774361,
,South Korea,2000,0,444810035,
,South Korea,2001,0,864874549,
,South Korea,2002,0,657470006,
,South Korea,2003,0,117959852,
,South Korea,2004,0,142941011,
,South Korea,2005,0,0,
,South Korea,2006,331823583,0,
,South Korea,2007,305841026,0,
,South Korea,2008,57406444,0,
,South Korea,2009,168844005,0,
,South Korea,2010,9946450,0,
,South Korea,2011,11082508,0,
,South Korea,2012,16780372,0,
,South Korea,2013,397323332,0,
,Poland,1973,0,0,
,Poland,1974,0,0,
,Poland,1975,0,0,
,Poland,1976,0,0,
,Poland,1977,0,0,
,Poland,1978,0,0,
,Poland,1979,0,0,
,Poland,1980,0,75000451,
,Poland,1981,0,35410,
,Poland,1982,0,70326,
,Poland,1983,0,63282,
,Poland,1984,0,0,
,Poland,1985,0,1014259163,
,Poland,1986,0,7204596,
,Poland,1987,0,0,
,Poland,1988,0,11464751,
,Poland,1989,0,2608739881,
,Poland,1990,0,3069497876,
,Poland,1991,0,326279481,
,Poland,1992,0,9141850218,
,Poland,1993,0,367250867,
,Poland,1994,0,431842731,
,Poland,1995,0,3376022477,
,Poland,1996,0,359200576,
,Poland,1997,0,309290589,
,Poland,1998,0,338026840,
,Poland,1999,0,377114427,
,Poland,2000,0,632761107,
,Poland,2001,0,670468736,
,Poland,2002,0,479506516,
,Poland,2003,0,492707038,
,Poland,2004,0,428513747,
,Poland,2005,0,0,
,Poland,2006,0,0,
,Poland,2007,0,54102,
,Poland,2008,0,0,
,Poland,2009,0,0,
,Poland,2010,0,0,
,Poland,2011,0,0,
,Poland,2012,0,0,
,Poland,2013,403184,0,
,Colombia,1973,0,549944785,
,Colombia,1974,0,203545814,
,Colombia,1975,0,145779156,
,Colombia,1976,0,143082677,
,Colombia,1977,0,67799905,
,Colombia,1978,0,54438681,
,Colombia,1979,0,15388003,
,Colombia,1980,0,257368296,
,Colombia,1981,0,176100059,
,Colombia,1982,0,1228919949,
,Colombia,1983,0,110714529,
,Colombia,1984,0,204495135,
,Colombia,1985,0,835091486,
,Colombia,1986,0,310212012,
,Colombia,1987,0,74058995,
,Colombia,1988,0,234020126,
,Colombia,1989,0,200318505,
,Colombia,1990,0,539309295,
,Colombia,1991,0,484986642,
,Colombia,1992,0,492185858,
,Colombia,1993,0,648542403,
